そだぞ	私は美少女戦士前原だよ
女の子 	私ひとりやった笑
可愛く撮れたなww	私 知ってる←
辞めようかな飽きた	は、私がいるじゃん
何かあったん️	Noと言えない私
魔法先生ですので 	ライスさんを私は多分崇めることに…
鐘ト銃声ちょっと気になってる	私も気になってる︎
男より女の子にモテたい切実に	なら私が好きになるよ   
へずまりゅう来てんのマジで草	奇遇ですね私のスペースにもいます。
よかった、またお話したかったから…	私も…お話ししにきてくれて、嬉しい…。
ありがと  ・𖥦・ 	すべるじゃなくて私にしない  
アップルのせいなのね スケルトンブーム	私は任天堂ハードかな
どしたどした 喧嘩しちゃったのかな 	私が悪いの ´・ᴥ・｀ 
あ、終わりでーす	私、女子だけど終わってる 
いつか俺も炎上して顔晒されるんかな、、	やばいやばい私もそうなっちゃう
ひたんもりりちゃんかわいいね	私は全くだよ、、うぅ、、
きついよね	んね、私これダメな人だ
りくなら反応くれると思ってた好き	当たり前‍️私もすき
私のお墓参りまでお願いします	私より先にちなないで
桃味しておいしかった	私も飲んでみるー 
でもDM閉鎖ちないよ	私の1日一言日記するね
I️BAU 	CSIと言いながらBAUを混ぜる私
あ、おけななちゃんにモテてるんだった	そそそ、めっちゃ私にモテてるからね 
僕と同じじゃないか	私たちはよく似てるね
ぽちゃの応援届いた	私の応援は光の速度で届くから 
今日14時間くらい勉強したなにごと‍	えら……私の集中力と交換しない… 
お願いだから幸せになってね阿瑶…………	私が阿瑤と幸せになってくる
任せて担当します	素敵最高私幸福
好き   	私もすき   
勝手に出る	はえー、簡単に言うねぇ……怖い私は
りんりんはリナさんが好きˊᗜˋ 	私も好き️
リプ返開始  	私のトプ画だーれだ
ひっど泣いたわ	うわぁー、泣いた。私も泣こ。
とりあえず精神衛生上寝ろ僕	私が子守唄歌いますね ぼえ
これ誰の垢 笑	 元 私の偽アカウント
わぁい	はい私の服 
お茶を飲みます	では私もほうじ茶を飲みます
私はピアノです。	私もピアノ好きです‍️
答えどこ 	私が食べた    は
どこがやねん、、	私の理想の女の子️
あなたの頭は肘置き	私は奴隷か何かか
かっこいいし強いです 	私にはきっと使いこなせない  
あんた好きだよ	私も好きだよ愛知当たれ
やった届いたら即開封するね 	私も即開封する  ️
もう旦那様しゅき ˘ω˘ 	私もお嫁様しゅき ˘ω˘ 
たすけて今日ケツから汁しか出ない	私たちはそれを『中便』と呼んだ
こんな単語しらない	私も存じ上げません、、
んー、、確かにそれはあり得るのかも  	私はここ数日、低気圧で最悪です
ばんごはんしゃぶしゃぶした	え私もしゃぶしゃぶだった 
なんで…付き合ってないの……	私にもわからない…………
右下なんかはリペア4感ありますよね	私もそう思いました
じゃあタメでたくさん絡むねー  	うれしい私もいっぱい絡む️  
申請すればいいでしょうか 	私に描いてほしい推しがいればどうぞ
有名なの 	私はたまにいってたー 
ボクも総思う	私の名前の感じが見えてビビったw
でもDM閉鎖ちないよ	やっぱ私たちの推し世界一
事故るなよ	私が事故ると思う         
那須に行きたいです。	私も行きたいです  
緑の放送見てるw	私も見てるw
夜中なのに1人できゃっきゃっしてる笑	私もニコニコしちゃった
見逃してちょうど今TVerで見てきたw	私今から
たけは目上だと思ってないので…	私も目上じゃねーだろ
の 	私のこと嫌いな人に枠はあげません。
23日楽しみにしてるね	私も 
まあまあある方なんですよね	まぁ私もあまり変わりませんけど
で今も食べながら見てる	うわ私のは  
お話しよーよー	したいよー私も 
映画めちゃめちゃ楽しみすぎる	そうですよね  私も楽しみです
これが罰	そして私が罪
誰か私に大人の心と余裕を下さい	私も欲しい ´ ω   
みまるきは様は告らせたい 私に 	ん 私今日からみまるきはちゃん 
ゆおんになら 鳴らせる 	期待すんな私の腹に
し	私は稼がせてる方だから え 
当たり前じゃないですか   	私のための曲ですね  
彼女欲しいわ	私も彼女欲しい
だよね照れ隠しされてる	私へのリプがほんとの脈アリ
身長止まったんだよねどうしたらいい	縄跳びしな縄跳びで私7cm伸びたよ
あ、可愛くなった笑	これ私のやつ
お先にフォロー失礼しますぅ 	私もフォロー失礼します 
すっご いいなぁ  	私よりもあったね
照れんなって素直になれよ	私はいつだって寿司だよ
一緒にあちゃん列並ぶわ	よろしく頼む妹のチェキ代は私出す笑
何しよっか	私アイコン気ままに探してる
アリーナしかもうしてないっすね笑	私もコントロールしかしてないです笑笑
丶 ・ω・｀ ヨシヨシ	まさんは私のよしよし専属係
是迈	不能私聊嘛呜呜呜
とわ様は告らせたい わしに 	みまるきは様は告らせたい 私に 
かなメンションするする	ありがとう T T  私もするねン  
屋根から飛んできたしなw	私屋根じゃない ˶˙ᵕ˙˶ 
めあこ「固定の四枚目私」	めあこ「これ私の本来の姿なのさ」
僕あんま舌が越えてないからな	私もですよめちゃくちゃ失敗もしたよ笑
もぶげん 	マブですマブ私モブじゃなくてマブです
思いつかなかったんだ…ウッ	私はちくわの神なんだ…ウッ
間違いなくてどうしよう 嫌い 	でも多分私たちことはすき 矛盾 
もはや合言葉がおばさん  爆笑	おばさんで私たち集合ね は 
ほんま やった	私81lineの早生まれ
可愛い️	柄×柄は上級者すぎて私には厳しいw
はい あれ、誰だ 笑	私うゆかってアカウントの人です‍️
可愛い	私もそう思う ヒャー 
にやけたうれしいにやにや	私もにやにや
電話してよ 	ちょっ、、、私の声が
ゆづかよwww笑ったwww	残念私だ
よかったらタメで話しませんか 	私で良ければぜひぜひ  
は アドもすきなん 新曲よくね 	踊と阿修羅ちゃんが私の中の最新
ラミオくん愛してるよ 	私はレトレトくん超絶愛してるよ  
撮るよ  ゆめちゃんソロも撮るよ	私のソロだけはマジNGwww
腹を割って話せる人、今いないな	私もです
陸だよー  	私海だ……違かった
私まいやんと同い年だ	私まいやんより年上
大ファンです私	私も隠れファンですw
一緒にみよう。 3回…  	え ガチで見たい。私が偽物を斬る。
リプ返開始  	花粉症で苦しんでる私に愛の手を
まじで集まり悪過ぎて草みんな反抗期 	私以外みんな反抗期
意識飛びかけてる 笑 	あとは任せた…私の分まで生きて
   ∇   好きですw	私も   ᐥ꒳ᐥ きゃー
風呂入ってなかった	あ、私もだ
ひまだねー	久しぶりに私と荒野とかどうですか
寝たいけど寝たくない人です   	私もです   
どういう意味だろう…	いや私は大丈夫かなぁと……
がんばろうな	私の肉まん、、、がんばろう、、、
しぃ・・・PS5・・・ほっしぃ・・・	私も。
その前にこのたんのスカート見とかないと	私基本的にズボンだからなぁ 寒い 
それなめあこ「通話してるのバレた」	めあこ「固定の四枚目私」
うわあああんひーちゃんすきだああ	私もるんちゃんちゅき
複雑。。	私のかわいい息子はどこ行った
最近フォト運いいです	私もほしい専用来たから許します 
逆にちょーだい ノシ ω  ノシ	私のあげたらなくなります
ぴちゃんなら投げれるよ	私は投げれる
ロキソニン湿布すぴ	効く 効くなら私も今度試したい 
やったね	でも私と結婚してるからごめんね️
ちゃんももも起きてる	私も珍しく起きてるwwwwwwwww
中心体は9辺だぞ クソリプ 	私としたことがッッ    
かえた	私天才 褒めていいよ
我也想知道	私
今日の慎ちゃんめっちゃ結婚したいさせて	いいよ私が証人
ついきゃす楽しかった️	私はそれを逃しました   
介護頑張るかぁー	私はもう学校やめたいけど 
私はアシスタント兼お茶くみ担当	あ、私は雑用係でなんせ下っ端やから
俺これ無視されてね 	私️
らびゅ	私もらっびゅ
はーあ	はーあ、私も元気出ません
私雷電将軍欲しい	綺麗な人 確かに私も欲しい 笑 
さっき聞きに来られたの誰かしら 	私だぞ
お疲れ様でした 楽しかったです 	私も楽しかった   
え、同じじゃん腰痛くなるし。	私まじ膝やばし
私は2人とも好きやで	私もりお姉すきですん
イライラしてきた	あざとい系だよね私は握り潰したくなる
宝贝 没有办法私信你呀	私我
お腹が空いてしまった。	私もお腹が空いてあたりめ食べました
2階3番4列不可避	私が本人です。
出席番号28番だれだっけ    	私らの席の一番後ろ 
あーん好き	私も大好きだよー️
明日から3000歩歩きます️	意思表示大事️私も歩く  
わー拾え拾え…  笑全部受け取る	けいに私の愛が受け止めきれるかなぁ 
うわ、良いこと聞いちゃった… 	私のタイプ需要ある  
常に「嫁募集中」ですはい	私も自分が外に出たい派
でも1人だからな	私も一人でやってだよ気分転換になるよ
ぜん、ろす・・・	私の出目、強かったよ
りょうかい名前似てるね嬉しい	私も思ってたなこなお語呂いい
おもんなそう	朝これみて鼻で笑うのが私の日課
今お布団なんだけど眠くないんだよね  	私なんかすぐ寝落ちしちゃう
今日全然勉強してませんでしたすみません	明日…私も頑張るから 
残り1人やなw	多分残るのは私の偽物 サブ垢 
5だったらアタイと一緒だよ	いやモテモテだな私そんな多くない
たっぴーとおしゃべりしたい	え、しよ私もうずっとニート←
知ーらない 	私もしーらない 
美味しいなw	ほんとに私の外撮りが地味すぎますねw
愛です	私が人見知り治してあげるからね
読んでるんだなぁ。	私もそう思いました️
よふかし 	悪い子みっけでも、私も一緒だわ 
了解です 	私はなんて呼んだらいいですか 
一口でおなかいっぱいなったわ	まあ私濃口なのでね汗汗
なんとなく雰囲気で分かったw	ゆっちゃん私の事好きだべ←
作るんがだるいんよな	いやわかる、私も1週間のんびりつくった
kzeさん、どんなひとなん 性格	ん 私の性格 もう知ってるハズ
なにをいう  	どう考えても私の方が綺麗
ワイも手が出せないままだ…	私もです、気になるタコピー…
何者なのか	私は「はめちゃん」がいいなw
そう簡単には死なない   	私とまだ会ってないもんな
最近の私はソバーキュリアス	最近の私は酒飲み太郎
いいでしょ ง˙⍢˙ 	私も名前変えたい
大丈夫じゃない人間がいます	こんなこと言ってますが私もです
ポチりました 	私もポチりました
サウナ️	今年の私の目標はサウナデビューです 
誰か私に大人の心と余裕を下さい	私もほんと欲しい、
ソヌ運羨ましすぎる  gt  lt  	私もウォン君運羨ましい…
ピアス増やそっと	私も増やす
俺も寂しいさだから酒で誤魔化しとる笑	私も前までは酒で誤魔化してた
まじか、勝てん、  	私の勝ち  
えっ  不思議体験したの  	実際に体験したのは私ではないけどね
なこすき 	んえかわいい私もすき
今日は早めに寝ようww	じゃあ私も早めに寝よっかなww
ねるんだな   	いや   私はまだ起きるぞ   
今度一緒にやろーよ 	私なんかでよければぜひ   
これは今からポチります	私もポチりました
17になった感覚が全くない	え 私より下なの 
断捨離終わりません    	私もいつも終わりません   
完全に殺しに来てますねぇ、奥さん	私達生きて帰れるのかしらねー、奥さん
ふぁさぁ	私はもう少しっ… じたばた
絶対違うわお前だとしたらドン引きするぞ	遂にね、息吐くように嘘つくので私
流し目ぇぇぇ  よき…	私だったか  
気付いた服が凄いことに…	私は黒い服が多いからやべぇ
偉いね	でしょ  私にしては頑張った
なんて言った 私の聞き間違い 	いや、私かなみちゃん  って思ったよ。
アースにハマってしまったww	まじで草私も読んでこよ   
愛してる	私も
みんなすきだよ、とても	私もみっちゃんすきです、とても
おはおはにゃん	私いま眠くなってきた
ギルトショウ派	多分私がオナニーしまくってる時ですね
びびちゃんのためのくじかな  笑 	私のためのくじでした←
待ってめちゃめちゃみられてるやんw	でも髭は毎日剃ってほしいです私
私の発送メール誰か埋めた 	私が食べた。 ˙˙ パァ
くちがすき	えへへ私も
やだ好きすぎる	私も
マクドソースコレクションwwwwww	私の大切なコレクションです️
もう結構我慢の限界まできてます。。	私もですよぉ ´ ω   
ありがたき幸せなのら	私も幸せなのら❀  ´    ❀
おむちゃんお久しぶりすぎて恋しいわ	私も恋しいまた会いにいくね 
キミノアトも良いですよ	いいですよね 私も好きです 
なかなかのセンスwwww	私が吹いたよ事務所で盛大にwww
あー若いからね そこ  	私らと同い年やwwww
なにさ	私の好きの言い損ってかんじ、、 
リプ返開始  	最近はトミカンが楽しそうで私も幸せです
下手だよなんか癖がすごくてさ笑	でも、私は好きな字だよ 
孤独と孤高を見間違えた私️	私も…魔に受けて診断した女
 。´ ω  ソカ	でも私の方が送れるから 
まじか	もう私頭いたいし重だるいもん
誰か私にコミュ力ください	私にもコミュ力ほしい‍
きょうはみんなぐあいがわるいなあ	私も、平均律聴きながら寝ます。
いや別に 	私の出る幕ではなかったか…
でも予想は中学生な気がする	私   3歳だよ 
幸せです	私も幸
睡眠時間はあなたの速度にかかっている	私も明日早いので寝ていいですか   
私は推しを堪能してから寝る	じゃあ私もそうしよ
10倍にしたらくれるの 	全部私の
可愛くなりたくて頑張りましたw	なんか私よりスタイルよさそう……むぅ
私はほらーきらい	え、私も実際のは怖い
もう誰かハンター教えてくれ…	私がバルク教えたる
 macoww  鍵どうぞ 	私も鍵で飛ばしたい 
すき良すぎて漏らした	私のためにわざわざ ありがとね
ざけんな、、運よ	私運いいのか 
ちょっとなに言ってるかわかんない	私もわかんない
自らしんどくしていくスタイル	私もよくやる     
それなすぎる	まじでみんなかわいすぎて私の人権ない
お酒飲める子好き️	私は、私よりお酒強い人が好き 笑笑
じゃあかわいい、そうしとこう	ていうか私の方がダサいと思う
ちゃんと親の言う事聞くんだぞ	1歳で私産んだ    
あんがと	お 私の念が通じた 
あいきゃんっちぇんざわー	私も聴きます 
めっちゃ見てます笑	私も最近ずっと見てます
出そうで出ない…	私もだ
いや、逆に 洋服選んでっwww	私が選んだらダサダサになっちゃうわw
赤点回避できるかなあああああ	きっと私は回避できない
じゃ、起きてるわww	私も仮眠やめて起きてることにした
なほちゃん、いらっしゃい	私、可愛くなる️
やった 声かけられるようにがんばる笑	うん 私もがんばる 笑
誰かタグみておくれ	みるー 私のもみてくれー 
ぺろぺろ禁止	それ私に死ねって言ってのと一緒よ  
え 土砂災害情報  	私も、え と思った雨 
そうしようか	私を早く大学生にさせてくれ
え   	私の方が綺麗
ぐっ、、、、うれじい、、、、	とりま私の中では優勝大優勝
転ばんといてww	こうゆう時に限って転ぶのが私なんよ
人生のほとんどモテません	私は「存在しません」でしたが
この余韻が好きすぎるライブハウス良	私も余韻
ヤベェな…じゃあ今度やね…	私も少し強くしとくわァ
それな 今日昼寝すぎたw	一緒 w車でも寝ちゃってた私www
あ、明日合格発表だ	ま 私明後日
そうですね、開催されてほしいです	私も開催されたら必ず行きます w
好き 	私も好き  ´꒳    
ゆーはらへった	私もー
秋葉原に行きたいです	私も久しぶりにいきたいです    
わかるー    人集まったやろ 	おけおけ 私はいつでも行けるで 
とにかくいません	私もよ
お布団の中が1番落ち着く出たくない	分かる 私も布団から出たくないもん  
選ぶとこが小田原くらいしかないです	私は全くないっすwww困ったもんだ
中旬だったけ  物忘れが	うん私もいい加減当てたい
あの土地はホントに迷路だよ	どこでも迷路な私笑
、、、️、、	私もあ い し て る    
代わりに甘いものよこせw	無理だね私が全部食べたもん
ふふっℓσνє 	私もらぶだもん  
マジで  いいの   	いいよ私釣りそんなに急がんし
願う笑 ￣∀￣ 	私も願ってます笑
アルコールあまり飲めなくなった	私もだよ‍️笑
ゆかたゃんお疲れ様好き	私も好き今日はありがとう
第一声「あんたもかい」	私も同じこと言った
シーッd  ˊ皿ˋ  	いやなんで私が黙るほうなんねーん
あいみょんと飲みたい 	私も呑みたい 
Loveですから  	嬉しすぎ、、、 私もあいだよ 
かいてーん	店主私なんですが      
衝動買いしてしまいました	私も見かけたら買っちゃう 
既にでかいからカルバンクライン	え、あれ、貧乳だよ私…
にやけるとか、、、爆死	私が可愛くて爆死やろ、わかるわかる
えふえふおやすみわたしはねないです	おやすみんちなみに私も寝ないです
鬼畜B感じるんでしたよね 	死にかけてそうな私の顔を見たいのか
あおろは低すぎなんよ   	私は始めたばかりだから
大井町と大手町間違えて草 死 	漫画喫茶とか私は使います。
うれしいぞ	私も
疲れすぎて吐きそうwww	私眠たくて瞼半開き
闇がぁwwwww	私死なない 大丈夫 ww
あら	私のうるさい声で鼓膜破壊しないように…
りくたんいてるだけで元気出る 	私も
くん付けしてくれてたから…	なるほど。私は男の子なんだね
違うからよーく見て 	私は騙されません 
みんなで結婚しようね	待って私町田の他の結婚相手知らない
マジでブスです加工に助けられてる	それは私すぎる
無関心すぎますね 	私のことも無関心
あみちゃんって呼びますね   	私はなんてお呼びしたらいいですか  
いつか買おー   	私も買う全巻
私学校卒業まで18日なんすけど   	私も同じくらい笑笑
意外と好きですよ	奇遇ですね…私もです
二度と行かん  ´ ω ｀  	手助けしたいけど私じゃ足でまといだ……
Youareking	私はキングじゃない笑
深夜じゃ闇夜じゃ我じゃ	私です
ゆみちゃんならできそうな気がする	私はしないの
うんwまだ全然起きてるわw	私もだわw一緒に起きてるw 
防衛も 	私は防衛もその意識で動いてる 
少し経てば治るはず  	私なんもしてないのに泣
ベーコンはずるいよな。うますぎる	私どれも好んで食べないんですよね笑
死にそうになる前に漢方飲んだよw	私もお薬飲んで事なきを得ました……
うららちゃん了解です 	私はなんとお呼びすればいいですか
発ってなに	私が聞きたいWWWWWWWW
まじだもんねぇほんとにすき愛してる	私も愛しすぎてる…
昼寝とかしてるからだわ	私起きるのも2時だもん
勉強したくなぁぁい	私1回も勉強してなぁい
みんなすきだよ、とても	私も大好きです 
私は大好き	じゃあ私は大大大好きで
可愛いって言われたことない 汗 	じゃあ私が第1号だね
了解です 	私はなんてお呼びしたらいいですか
待って行動の早さ	今日暇だったんだ私
もも何センチなの 	ん 私145   
アデル推しでございます	いいよね私クーヘン     
え なにをおっしゃるんですか 	私Mじゃないんでぇ。、、
はい	わー 嬉しい 私も入れる   
みんな寝たかと思ったw	私は起きてるჱ̒      
いきって踊るか笑	じゃあ私みまもっとくよ
まい聞くなァァァ   	ん 私 
大好き	えん嬉しい     私も大好き 
あ、あれ仲良く食べようぜ…… 焦	食べない。私のモノッッッッッッ
くさい	私実は無臭なんすよね
りょーおもい 大好き  	私も大好き 
这就是我 	これが私かwwww
ホラーだよ   	私はほらーきらい
久々過ぎてチェイスくそ下手www	大丈夫私今でも下手くそw
こい	呼ばれてる私、行くしかないやつ
うさちゃんᙏ̤̫	今日から私はうさちゃん
青梅市も大きいから…	私は小学生の頃大門に住んでました
あゆちゃん了解です	私はなんとお呼びすれば良いでしょう
サラダ味好き	私なっとう味とかも好きーw
154 	おっ 私と一緒ぐらいだ 
しなだ ちゃんとしなしてる	最近私らしくなかったなーとは自覚してる
今教科書ぶん投げたわ	こないだの私じゃん ノートだったけど 
なにそれ好き	えなにそれ私も好き
食欲「  ・ω・ ノやぁ」	睡眠導入剤「私を頼って」
2月27日  	27日  私と1日違いだ   
きゃわわわ	かわいいのは私の推しです
14年も続いてたんやなぁ…	私の朝を支えてくれた番組      
いず綺麗    	     私のほうがきれい
寝落ち…	あらら…私もがっつり寝落ちてました…
みんなすきだよ、とても	私も大好きです
クソが	私もテスト期間中だけどねん
10分くらいリプ返する。よーいどん 	私はいつもこの波に乗り遅れるんだ   
誘われたらオンライン加入しますけどw	じゃあ、私が加入したら誘いますねw
そう それならいいのだけれど…	ふふっ、私は大丈夫だから…ね  にっ
たのしみ	少しは私も構ってくださいね 
え まじすか	私30くらい回しましたよ
ポインティみてると元気になるわ	私もポインティ好き 
僕はモテんから辛さがわからん笑笑	私もわかんない
実は私も眠い	近況トークないから私も眠い 小声 
仲良くなりたい  	私も仲良くなりたい 
そうなのかもしれない 	私は妹系ばっかりだ俺ガイルは小町
最近ランページ使い始めたけど強い… 	私もよく使う
しんたろもばぶいお眠ちゃん	実は私も眠い
今日のRラジオは、腹が痛い。	私も腹抱えて笑いましたー
明日バイト休みなの️何しようかな	うぇい 私も 
誰 	私。
こやぎの写真も待ってるけどね  	私の写真は、、、wwwマタナイデ
ショタ・・・ 	私がショタだった…  
かわいすぎ 久しぶりに遊べんの嬉しい 	私も嬉しいー   
天才ですかな	まぁ、、私人間国宝なので、、     
手口がプロで勉強になる	それな 私は名前に年齢とか入れてたなー
今度勝負だ 	ぜったい私が勝つね
正解は1番したですっ	習字か、、、私習ってたなww
愛してるよ 	私も愛してる 
ねえYouTubeまだですか怒るよ 	私ダウンロードした
いつもチキって申請押せないの、、、	じゃあ私押すね   
落ち着いていれば、福岡に来てくれw	お母さんと叔母と私で行く予定だよ笑
ゆきむ大好き	私も大好きだよ
気づいたら喧嘩勃発してるんよwwwww	なんで私まきこまれてないのぴえん
私、お金ない。。	私も貧乏
なぜか姫になってるw	私は貴女の羊ですから
無理です死にます 	私もそっちへ行くよ  
すんちゃんって呼びますね 	私はなんて呼びましょ
あるも ん 	私が無いって言ったら無いです 暴論 
えー なんて幸せなことが…	全私が泣きました ﹡֦Ơ﹏Ơ֦﹡ ฅ
おやおやおやおや…	私…私まだできるよ…ねぇ…
とりあえず主語とかしっかりしよう	私、日本語むずかしい
知らなかったwww	私もwwwwなんか感動   
智王子夢に出てきて	私のとこにも出てきて
美味しい、これ	私も飲みたい ๑⃙⃘´༥ ๑⃙⃘ 
おしっこして寝ます。	私も甘酒飲んでおしっこして寝ます。
なにが	私とここまで続けてるのが
もっとからみたい…… 	私も絡みたいい   残すね 
お好み焼きたべたいなぁ	私も一昨日食べた ω・ و̑̑༉
六日純約會嗎 喝杯咖啡	私訊
大丈夫です私も遅れましたごめんね	遅くなった私の責任なので起きになさらず
今日めっちゃ長くなった	私色々あって手紙も書いてるから安心しな
それどんな感情だよw	私も分からん笑
自分の心に問いかけてみなさい	私のツンは社畜じゃないから別枠。
愛いただきました	私もかんたさんの美頂きました  
さいたま	まじ  私前住んでた  さいたま 
初耳	えっ時々なるけど私だけ 
一緒に幸せになりたいなあ	私はなぴくんといれるだけで凄く幸せです
2回見たよー   	私も まばたき忘れたよね
は、、、  、  好き	私の愛は重いぞ 
むしろどんな人物なのかが気になりますw	私もどんな人なのか気になってきてます
可愛いか  笑 ぱぴちゃんap	 ￣ ￣  私はマヌケ感   
なんかいいシャンプーない 	私、ミルボンのシャンプー使ってるよ️
誰か推し運をください 震え声 	私にも推し運を…… 震え 
ふぁ  	ガチャしか引きません私のパズドラ
何に…… 	それ私の質問wwww
赤楚の赤	わかっちゃったー私が勧めたよ
迷ってる開けようかな 	私今開けたwwwwwwwwwww
殺してやる	私が画像送ったおかげで出たやん
のんびーりがだいすきです 	私ものんびりのんびり好きです
最近すきすぎてやばいよ	私もだよ
いや…流石におうちかも…	ですよね、私は多摩センターへ、、、
友達とたまにする	じゃあ私ともしよぅ
じゃー使おうかな	私もいいかなー ️
おとうさんも困ったんじゃないかな 	そうですよね全部私が悪いですよね
そだよwオススメ	ホルモンは私の方が上だね
リアルꉂ ˊᗜˋ  	単なる私の妄想です️
かあいい すき 	私もすき 
今って閑散期なの 	私は仲良し様閑散期です。
構図頑張ったよぉ️	私には書けない…凄いよぉ
ふっ、、ばれてしまった、、、	実は私もなんだ……おお同士よ…
ダレヤネン	私が聞きたいわ
34→作家ってなぁに 38→て 	私も作家が分からないww
ほぼ睡眠やんww	私に勉強させちゃいけねぇ…寝るから
早くチッケム見せろ	私のなら喜んで見せるよ
おいハンサム 	私を誰かが呼んでいる
ほのかちゃんとお呼びしますネ 	私はなんとお呼びすればいいですか  
え  	えっ私何か変なこと言いました 
おはさまも、行きましょう	私も美味しい店に 連れてって  
バンド  ベース担当になろうかな  	じゃあ私ドラム担当やるね
あー冬眠する種族やな。	え 私クマとかと一緒の種 ww
りょうかいです️️	私はなんとお呼びしましょう️️
どこで撮ったんw	知らぬ間に私の右手が。。。
ビューティーインサイドもう一回見た	3回目は私と観よ
通報しといたのでNoproblem 	私もした 流石にね…
たくさんリプ飛ばしちゃうね	嬉しい 私もする 
ゴキブリかよwwwwwwwwww	私たち太古の生き物だねwwwwwwww
つうわぼ	私でよければ    
だからちがうって	違うくないよ私特技ないよ
やばい嬉しすぎる	私も嬉しい  ´꒳   
バイト禁止なんだよ	私も禁止 バレない
照れたwww	 今日は私がボケ倒すんや…  
少し安心しました	私もです 少し安心しました
だって二個も坂ある、、	私1個
やった そうだね 楽しみ️	私も楽しみ️
私も思ってしまいました プリコネ民 	私だけじゃなかったw
えすご  お祝いするねん	私もまおたんお祝いする
DMします 	私でよければ    
話したいけど 話にいけない…	私で良ければ、いつでもお待ちしてますよ
先週みたからもういいよw	確かに私は見たw今日は子供と見たw
まじか、しんどいな	頑張れ私は90秒のやつ見て発狂しました
俺寝るまで夜だから 	聞いた私がばかだったわ
いえいえっ 大好きやからしゃーない  	私も大好き 
知ってるが 	私ささみ鶏肉です
ずっとずっとずっと此処に居るよ。	えっあっうん私はインスタの方に居るよ
女の子ですか	私ですか 女の子でございます
わたしもなにか繋がりキャンペーンやりたい	私ともっと繋がってくれていいんだよ 
神にはならんかなあwwww	じゃあ私は神になる
はーりあちゃん愛す	私も愛します
一緒にかわいいキャラを愛でるのだー	私は今のとこキャルおしてます
完凸やばい ￣ ￣  	私はやばくないですよ  ´ ω   
绵阳的 给联系方式	私聊我
だよねw	うんw私も前にそれ経験したことある
蘭ちゃん可愛いヽ ˘ω˘ ゝ	私は蘭つぐ派です   唐突 
まいやん可愛すぎる。ちびを	私まいやんと同い年だ
んん参加したかった߹𖥦߹	私も聞き専っ  
アヒルボート部入りたいです	私も入りたいwwwwwww
それは本人公認ですか… 	私公認なので公認   
れむもずっと好き	もう私が幸せにしてあげなきゃ
そんなにモテん 笑 	ありゃ、、私がいっぱい告白する
のるもうれしいよきっと	そうだよね、私の声が聞けるしね
ごめんて今気づいたそんな怒んなって	私も今気づいた失敬早く遊ぼうっと
あっちぃジングルしか覚えてない	私もwww
おけ  米ね 	私はなんてお呼びすればいいかな  
彼女の弁当って憧れるよな	これ遠回しに私彼女認定貰えた  
金持ちになりてえええええ       	私もぉぉぉ貧乏です
まず告られたことない	私が告るあいだいすき可愛すぎるんよ
中学だよね 高校行ってもがんば 	私09の小6 今年中学 
いわふか、いわさくに置き換えてみる笑	それめちゃくちゃあり、私もそうする
彼を目にすると眉間にシワが反射的に	私は白髪が増えるわよ
やめてもろて笑笑笑笑	私と同じかなとかおもた、、、
溺れるナイフっておもしろいのかな	私の方がおもしろい
女性に甘えたい	私で良いの  
結構ですね。 重婚の極み 	私だけ誤字で断られてて草
美味しいよね	私も食べたくなってきちゃった
今日も楽しそうで何より笑	みんな私の事故画たのしみすぎ
おめでとぉぉ        	私も4歳になりました、
なんと	初日がね 私は来週️大丈夫
今年はバレンタインもらえなかった	病院で夕食にチョコが出た私は複雑だ
いつか会いにいくからね  	私も会いいく  
だよねー頭の固いジジイだと尚更	私の父親だぁ
いや、可愛いな笑やらないから安心しな 	私もゆペンです  
僕ファンブラ	私も最近やばい
そうする まゆちゃんって呼ぶね 	了解  私はなんて呼べばいい 
うん。10年前… 昔すぎwww 	私12年前 笑
うんwじゃないとツッコミおらんなるw	私はツッコミ役なんかw
東京だあ、、、まこと大阪  	そう、私大阪
俺個人の話はしてないっての。	私もそんなの聞いてません。
くにくんの分かった人ほんとすごいと思うw	え、私すごいって    
ポンデリングです	私もです
就活終活️失礼しました。	全然です 私もよく変換間違えします
ただのくそ陰キャです………………	私もそうなので、仲間ですね
いやその顔も可愛く見えてきた	でしょ これ私 ˙꒳​˙ 
相棒にきなさき	でも、私甘えたことない ・∇・ 
何言ってんの笑私ブスの極みよ	極みは圧倒的に私でしぬ
そうだよー  	ええええ私その前日の26日
がち 楽しみ   	私も ペンライトぶんまわそ    
私にはあのゲームは向かない…… 	私も上手くはないわ
ゆなしめさんあいらぶー    	私ものえももさんらぶー   
悲しきかなです……	悲しみでも、私は味噌汁ちゃん好きよ
山下	そこも私の根幹だから
たしかに真逆そっちまで飛ぶかあああ	私が飛びに行くぜ
聖奈すき	私もれむちゃ大好き 
あんこだいすきほんとにすき	私も好きよチュチュ
2	私もです
 ˙꒳​˙ 	私の嫁
米より麺派です…	私もです 
中国語取る方いますか  	私取るつもりです…… 
はやくこっち アラサー へおいで	数年後には私も言う側になってる
国際条約便利	私も野生の営みの中に入らなきゃ
ENHYPEN	私もエナプ好きちなみに誰ペン  
私もwwwゲームすごいしてたwww	だよねww私もしてたwww
さゆきちゃんほんとすき愛してる	私もだよ⸜︎⸝‍
 発狂 	そんな君に悲報私多分身長伸びた
